token-name,description,value-light,value-dark,category,type,version,tags,platform,usage
interactive.secondary.active,"- Shows secondary interaction
- Consistent with primary active
- Maintains visual hierarchy
- Should be distinct",#4ba64b,#000029,color,interactive,1.0.29,secondary.active color,web,"- Secondary pressed states
- Alternative selections
- Supporting active states
- Secondary form elements
- Alternative navigation"
interactive.secondary.disabled,"- Shows secondary unavailability
- Consistent with primary disabled
- Maintains hierarchy
- Should be clear",#4ba64b,#000030,color,interactive,1.0.30,secondary.disabled color,web,"- Disabled secondary elements
- Unavailable alternatives
- Inactive secondary actions
- Supporting disabled states
- Alternative unavailable"
interactive.secondary.focus,"- Supports secondary accessibility
- Consistent with primary focus
- Maintains navigation
- Must be visible",#4ba64b,#000031,color,interactive,1.0.31,secondary.focus color,web,"- Secondary focus states
- Alternative keyboard navigation
- Supporting focus elements
- Secondary form focus
- Alternative navigation focus"
interactive.ghost,"- Minimal visual presence
- Subtle interaction states
- Clean, minimal look
- Should be subtle",#4ba64b,#000032,color,interactive,1.0.32,ghost color,web,"- Subtle interactions
- Background-less buttons
- Minimal UI elements
- Tertiary actions
- Subtle navigation"
interactive.ghost.hover,"- Very subtle feedback
- Minimal visual change
- Maintains subtlety
- Should be gentle",#4ba64b,#000033,color,interactive,1.0.33,ghost.hover color,web,"- Ghost element hover
- Subtle hover effects
- Minimal interaction feedback
- Ghost navigation hover
- Subtle link hover"
interactive.ghost.active,"- Shows minimal interaction
- Maintains subtlety
- Provides feedback
- Should be gentle",#4ba64b,#000034,color,interactive,1.0.34,ghost.active color,web,"- Ghost pressed states
- Subtle selections
- Minimal active states
- Ghost form elements
- Subtle navigation"
interactive.ghost.disabled,"- Shows minimal unavailability
- Maintains subtlety
- Clear but gentle
- Should be clear",#4ba64b,#000035,color,interactive,1.0.35,ghost.disabled color,web,"- Disabled ghost elements
- Unavailable subtle actions
- Inactive ghost states
- Supporting disabled
- Minimal unavailable"
interactive.ghost.focus,"- Supports accessibility
- Maintains subtlety
- Must be visible
- Should be gentle",#4ba64b,#000036,color,interactive,1.0.36,ghost.focus color,web,"- Ghost focus states
- Subtle keyboard navigation
- Minimal focus elements
- Ghost form focus
- Subtle navigation focus"
text.primary,"- Most important text color
- Highest contrast
- Primary reading color
- Must meet WCAG AA standards",#4ba64b,#000037,color,text,1.0.37,primary color,web,"- Main content text
- Body text
- Headings
- Primary information
- Important content"
text.secondary,"- Supports primary text
- Creates visual hierarchy
- Less prominent than primary
- Still must be readable",#4ba64b,#000038,color,text,1.0.38,secondary color,web,"- Supporting text
- Subtitles
- Secondary information
- Less important content
- Supporting details"
text.tertiary,"- Lowest text hierarchy
- Used for supplementary info
- Should still be legible
- Creates depth in content",#4ba64b,#000039,color,text,1.0.39,tertiary color,web,"- Metadata
- Timestamps
- Supporting labels
- Less important details
- Tertiary information"
text.disabled,"- Shows non-interactivity
- Indicates unavailability
- Must be clearly inactive
- Maintains hierarchy",#4ba64b,#000040,color,text,1.0.40,disabled color,web,"- Disabled form elements
- Unavailable content
- Inactive text
- Read-only content
- Unavailable features"
text.inverse,"- Used on dark surfaces
- Must maintain contrast
- Supports dark themes
- Should be clearly visible",#4ba64b,#000041,color,text,1.0.41,inverse color,web,"- Text on dark backgrounds
- Overlay text
- Dark mode text
- Contrast text
- Inverse color schemes"
text.link,"- Clearly indicates interactivity
- Should be distinct
- Must be recognizable as link
- Should meet accessibility standards",#4ba64b,#000042,color,text,1.0.42,link color,web,"- Hyperlinks
- Navigation links
- Interactive text
- Clickable content
- Reference links"
text.link.hover,"- Shows interactivity
- Provides feedback
- Should be noticeable
- Maintains accessibility",#4ba64b,#000043,color,text,1.0.43,link.hover color,web,"- Link hover states
- Interactive text feedback
- Navigation hover
- Link interaction
- Mouse feedback"
text.error,"- Indicates errors
- Shows critical info
- Must be attention-grabbing
- Should be accessible",#4ba64b,#000044,color,text,1.0.44,error color,web,"- Error messages
- Validation text
- Warning messages
- Critical information
- Alert text"
text.success,"- Shows positive states
- Indicates success
- Should be clear
- Must be accessible",#4ba64b,#000045,color,text,1.0.45,success color,web,"- Success messages
- Confirmation text
- Positive feedback
- Achievement text
- Status updates"
text.warning,"- Shows caution
- Indicates warnings
- Should be noticeable
- Must be accessible",#4ba64b,#000046,color,text,1.0.46,warning color,web,"- Warning messages
- Cautionary text
- Alert information
- Important notices
- Attention text"
text.info,"- Shows information
- Provides guidance
- Should be clear
- Must be accessible",#4ba64b,#000047,color,text,1.0.47,info color,web,"- Information messages
- Help text
- Tooltips
- Guidance text
- Status information"
text.placeholder,"- Shows placeholder content
- Provides guidance
- Should be subtle
- Must be distinguishable",#4ba64b,#000048,color,text,1.0.48,placeholder color,web,"- Form placeholders
- Input hints
- Search suggestions
- Default text
- Helper text"
text.selection,"- Shows selection
- Indicates focus
- Should be visible
- Must maintain readability",#4ba64b,#000049,color,text,1.0.49,selection color,web,"- Selected text
- Highlighted content
- Text selection
- Focused text
- Active text"
text.muted,"- Creates visual hierarchy
- Supports main content
- Should be subtle
- Must be legible",#4ba64b,#000050,color,text,1.0.50,muted color,web,"- De-emphasized text
- Background text
- Supporting content
- Less important info
- Subtle text"
text.brand,"- Represents brand
- Should be distinctive
- Maintains brand identity
- Must be consistent",#4ba64b,#000051,color,text,1.0.51,brand color,web,"- Brand text
- Logo text
- Branded elements
- Company name
- Brand highlights"
border.default,"- Primary border color
- Creates basic separation
- Should be subtle
- Must provide visual structure",#4ba64b,#000052,color,border,1.0.52,default color,web,"- Standard borders
- Container boundaries
- Card edges
- Section dividers
- Basic separation"
border.focus,"- Shows focus state
- Supports accessibility
- Must be clearly visible
- Indicates current element",#4ba64b,#000053,color,border,1.0.53,focus color,web,"- Focused elements
- Keyboard navigation
- Active inputs
- Selected components
- Interactive focus"
border.error,"- Indicates errors
- Shows validation issues
- Must be attention-grabbing
- Should be accessible",#4ba64b,#000054,color,border,1.0.54,error color,web,"- Error states
- Invalid inputs
- Warning boundaries
- Critical elements
- Alert borders"
border.disabled,"- Shows non-interactivity
- Indicates unavailability
- Should be visually distinct
- Maintains hierarchy",#4ba64b,#000055,color,border,1.0.55,disabled color,web,"- Disabled elements
- Inactive components
- Unavailable items
- Read-only states
- Non-interactive elements"
border.divider,"- Creates visual separation
- Organizes content
- Should be subtle
- Improves readability",#4ba64b,#000056,color,border,1.0.56,divider color,web,"- Section separators
- List dividers
- Content boundaries
- Group separators
- Visual breaks"
border.hover,"- Shows interactivity
- Provides feedback
- Should be noticeable
- Maintains consistency",#4ba64b,#000057,color,border,1.0.57,hover color,web,"- Interactive hover states
- Mouse feedback
- Element highlighting
- Navigation hover
- Interactive feedback"
border.active,"- Shows current state
- Indicates selection
- Must be distinct
- Provides clear feedback",#4ba64b,#000058,color,border,1.0.58,active color,web,"- Active elements
- Selected items
- Pressed states
- Current selection
- Active navigation"
border.success,"- Shows success
- Indicates validity
- Should be clear
- Must be accessible",#4ba64b,#000059,color,border,1.0.59,success color,web,"- Success states
- Valid inputs
- Confirmation borders
- Positive feedback
- Achievement indicators"
border.warning,"- Shows warnings
- Indicates caution
- Should be noticeable
- Must be accessible",#4ba64b,#000060,color,border,1.0.60,warning color,web,"- Warning states
- Caution indicators
- Alert boundaries
- Important notices
- Attention borders"
border.info,"- Shows information
- Provides guidance
- Should be clear
- Must be accessible",#4ba64b,#000061,color,border,1.0.61,info color,web,"- Information states
- Help indicators
- Guidance borders
- Status indicators
- Tooltip borders"
border.subtle,"- Creates subtle separation
- Supports main content
- Should be gentle
- Maintains hierarchy",#4ba64b,#000062,color,border,1.0.62,subtle color,web,"- Light separation
- Background borders
- Supporting elements
- Secondary boundaries
- Soft dividers"
border.strong,"- Creates strong separation
- Indicates importance
- Should be prominent
- Must be clear",#4ba64b,#000063,color,border,1.0.63,strong color,web,"- Important boundaries
- Primary separation
- Key dividers
- Main containers
- Critical elements"
border.brand,"- Represents brand
- Should be distinctive
- Maintains brand identity
- Must be consistent",#4ba64b,#000064,color,border,1.0.64,brand color,web,"- Branded elements
- Logo containers
- Brand highlights
- Company elements
- Branded sections"
border.elevated,"- Shows elevation
- Creates depth
- Should be subtle
- Maintains hierarchy",#4ba64b,#000065,color,border,1.0.65,elevated color,web,"- Raised elements
- Floating components
- Modal borders
- Elevated cards
- Popover boundaries"
border.transparent,"- Creates invisible structure
- Supports interactions
- Should be subtle
- Maintains layout",#4ba64b,#000066,color,border,1.0.66,transparent color,web,"- Hidden borders
- Focus indicators
- Interactive states
- Hover effects
- State transitions"
status.success,"- Indicates successful outcomes
- Shows positive states
- Must be clearly visible
- Should be accessible
- Creates positive feedback",#4ba64b,#000067,color,status,1.0.67,success color,web,"- Success messages
- Completed actions
- Positive feedback
- Achievement indicators
- Progress completion
- Valid states
- Confirmation badges"
status.error,"- Shows critical issues
- Indicates problems
- Must be attention-grabbing
- Should be accessible
- Creates urgency",#4ba64b,#000068,color,status,1.0.68,error color,web,"- Error messages
- Failed actions
- Critical issues
- Validation failures
- System errors
- Warning alerts
- Problem indicators"
status.warning,"- Indicates caution
- Shows potential problems
- Should be noticeable
- Must be accessible
- Creates awareness",#4ba64b,#000069,color,status,1.0.69,warning color,web,"- Warning messages
- Cautionary states
- Important notices
- Potential issues
- Attention alerts
- Pending states
- Temporary issues"
status.info,"- Shows information
- Provides guidance
- Should be clear
- Must be accessible
- Creates understanding",#4ba64b,#000070,color,status,1.0.70,info color,web,"- Information messages
- Status updates
- Help indicators
- Guidance alerts
- System status
- Progress indicators
- General notifications"
status.neutral,"- Shows default state
- Indicates neutrality
- Should be subtle
- Must be accessible
- Creates balance",#4ba64b,#000071,color,status,1.0.71,neutral color,web,"- Default states
- Inactive elements
- Pending states
- Unknown status
- Unspecified conditions
- Default indicators
- Placeholder states"
status.pending,"- Shows in-progress state
- Indicates waiting
- Should be clear
- Must be accessible
- Creates expectation",#4ba64b,#000072,color,status,1.0.72,pending color,web,"- Loading states
- Processing indicators
- Waiting states
- In-progress actions
- Background tasks
- Async operations
- Progress indicators"
status.completed,"- Shows completion
- Indicates final state
- Should be clear
- Must be accessible
- Creates closure",#4ba64b,#000073,color,status,1.0.73,completed color,web,"- Finished tasks
- Completed actions
- Done states
- Final status
- Achievement badges
- Success indicators
- Final states"
status.critical,"- Shows critical issues
- Indicates urgency
- Must be prominent
- Should be accessible
- Creates urgency",#4ba64b,#000074,color,status,1.0.74,critical color,web,"- Critical errors
- System failures
- Emergency alerts
- Severe issues
- Urgent notifications
- Critical warnings
- Emergency states"
status.attention,"- Shows importance
- Indicates priority
- Should be noticeable
- Must be accessible
- Creates awareness",#4ba64b,#000075,color,status,1.0.75,attention color,web,"- Attention needed
- Important alerts
- Priority messages
- Required actions
- Important updates
- Key notifications
- Priority indicators"
status.unknown,"- Shows unknown state
- Indicates uncertainty
- Should be neutral
- Must be accessible
- Creates clarity",#4ba64b,#000076,color,status,1.0.76,unknown color,web,"- Undefined states
- Unknown conditions
- Unspecified status
- Default indicators
- Placeholder states
- Initial states
- Unset conditions"
status.disabled,"- Shows unavailability
- Indicates disabled state
- Should be clear
- Must be accessible
- Creates understanding",#4ba64b,#000077,color,status,1.0.77,disabled color,web,"- Inactive states
- Unavailable features
- Disabled elements
- Non-interactive states
- Unavailable options
- Inactive indicators
- Disabled features"
status.valid,"- Shows validity
- Indicates correctness
- Should be clear
- Must be accessible
- Creates confidence",#4ba64b,#000078,color,status,1.0.78,valid color,web,"- Valid inputs
- Correct states
- Validated fields
- Proper conditions
- Correct indicators
- Valid states
- Proper feedback"
status.invalid,"- Shows invalidity
- Indicates errors
- Should be clear
- Must be accessible
- Creates correction",#4ba64b,#000079,color,status,1.0.79,invalid color,web,"- Invalid inputs
- Incorrect states
- Invalidated fields
- Wrong conditions
- Error indicators
- Invalid states
- Error feedback"
status.processing,"- Shows processing
- Indicates activity
- Should be clear
- Must be accessible
- Creates feedback",#4ba64b,#000080,color,status,1.0.80,processing color,web,"- Processing states
- Working indicators
- Active operations
- Background tasks
- Loading states
- Progress indicators
- Active processes"
status.ready,"- Shows readiness
- Indicates availability
- Should be clear
- Must be accessible
- Creates action",#4ba64b,#000081,color,status,1.0.81,ready color,web,"- Ready states
- Available features
- Prepared elements
- Ready indicators
- Available options
- Prepared states
- Ready feedback"
background.primary,"- Light theme: `#FFFFFF`
- Dark theme: `#1A1A1A`
- High contrast: `#000000`",#4ba64b,#000082,color,background,1.0.82,primary color,web,"- Main page backgrounds
- Primary containers
- Default surfaces
- Main content areas
- Primary sections
- Default layouts
- Main interfaces"
background.secondary,"- Light theme: `#F5F5F5`
- Dark theme: `#2D2D2D`
- High contrast: `#1A1A1A`",#4ba64b,#000083,color,background,1.0.83,secondary color,web,"- Secondary containers
- Alternative surfaces
- Side panels
- Secondary sections
- Alternative layouts
- Side interfaces
- Secondary content"
background.tertiary,"- Light theme: `#EEEEEE`
- Dark theme: `#404040`
- High contrast: `#333333`",#4ba64b,#000084,color,background,1.0.84,tertiary color,web,"- Tertiary containers
- Additional surfaces
- Nested panels
- Tertiary sections
- Additional layouts
- Nested interfaces
- Tertiary content"
background.inverse,"- Light theme: `#000000`
- Dark theme: `#FFFFFF`
- High contrast: `#FFFFFF`",#4ba64b,#000085,color,background,1.0.85,inverse color,web,"- Inverse containers
- Contrast surfaces
- Opposite panels
- Inverse sections
- Contrast layouts
- Opposite interfaces
- Inverse content"
background.subtle,"- Light theme: `#F9F9F9`
- Dark theme: `#262626`
- High contrast: `#1A1A1A`",#4ba64b,#000086,color,background,1.0.86,subtle color,web,"- Subtle containers
- Light surfaces
- Gentle panels
- Subtle sections
- Light layouts
- Gentle interfaces
- Subtle content"
background.muted,"- Light theme: `#F0F0F0`
- Dark theme: `#333333`
- High contrast: `#262626`",#4ba64b,#000087,color,background,1.0.87,muted color,web,"- Muted containers
- Soft surfaces
- Quiet panels
- Muted sections
- Soft layouts
- Quiet interfaces
- Muted content"
background.accent,"- Light theme: `#E6F3FF`
- Dark theme: `#1A3B4D`
- High contrast: `#000080`",#4ba64b,#000088,color,background,1.0.88,accent color,web,"- Accent containers
- Highlight surfaces
- Emphasized panels
- Accent sections
- Highlight layouts
- Emphasized interfaces
- Accent content"
background.success,"- Light theme: `#E6F4EA`
- Dark theme: `#1E3B2D`
- High contrast: `#006400`",#4ba64b,#000089,color,background,1.0.89,success color,web,"- Success containers
- Positive surfaces
- Success panels
- Success sections
- Positive layouts
- Success interfaces
- Success content"
background.warning,"- Light theme: `#FFF3E0`
- Dark theme: `#3B2D1E`
- High contrast: `#804000`",#4ba64b,#000090,color,background,1.0.90,warning color,web,"- Warning containers
- Caution surfaces
- Warning panels
- Warning sections
- Caution layouts
- Warning interfaces
- Warning content"
background.error,"- Light theme: `#FCE8E6`
- Dark theme: `#3B1E1E`
- High contrast: `#800000`",#4ba64b,#000091,color,background,1.0.91,error color,web,"- Error containers
- Problem surfaces
- Error panels
- Error sections
- Problem layouts
- Error interfaces
- Error content"
background.info,"- Light theme: `#E3F2FD`
- Dark theme: `#1E2B3B`
- High contrast: `#000080`",#4ba64b,#000092,color,background,1.0.92,info color,web,"- Info containers
- Information surfaces
- Info panels
- Info sections
- Information layouts
- Info interfaces
- Info content"
background.hover,"- Light theme: `#F5F5F5`
- Dark theme: `#2D2D2D`
- High contrast: `#1A1A1A`",#4ba64b,#000093,color,background,1.0.93,hover color,web,"- Hover states
- Interactive surfaces
- Hover panels
- Hover sections
- Interactive layouts
- Hover interfaces
- Hover content"
background.active,"- Light theme: `#E0E0E0`
- Dark theme: `#404040`
- High contrast: `#333333`",#4ba64b,#000094,color,background,1.0.94,active color,web,"- Active states
- Selected surfaces
- Active panels
- Active sections
- Selected layouts
- Active interfaces
- Active content"
background.disabled,"- Light theme: `#F5F5F5`
- Dark theme: `#2D2D2D`
- High contrast: `#1A1A1A`",#4ba64b,#000095,color,background,1.0.95,disabled color,web,"- Disabled states
- Inactive surfaces
- Disabled panels
- Disabled sections
- Inactive layouts
- Disabled interfaces
- Disabled content"
background.focus,"- Light theme: `#E3F2FD`
- Dark theme: `#1E2B3B`
- High contrast: `#000080`",#4ba64b,#000096,color,background,1.0.96,focus color,web,"- Focused states
- Keyboard surfaces
- Focus panels
- Focus sections
- Keyboard layouts
- Focus interfaces
- Focus content"
overlay.light,"- Light overlay
- Subtle background
- Should be gentle
- Must be visible
- Creates subtle emphasis",#4ba64b,#000097,color,overlay,1.0.97,light color,web,"- Light overlays
- Subtle backgrounds
- Soft highlights
- Light modals
- Gentle emphasis
- Soft focus
- Light emphasis"
overlay.medium,"- Medium overlay
- Standard background
- Should be noticeable
- Must be visible
- Creates standard emphasis",#4ba64b,#000098,color,overlay,1.0.98,medium color,web,"- Medium overlays
- Standard backgrounds
- Regular highlights
- Standard modals
- Regular emphasis
- Standard focus
- Medium emphasis"
overlay.dark,"- Dark overlay
- Strong background
- Should be prominent
- Must be visible
- Creates strong emphasis",#4ba64b,#000099,color,overlay,1.0.99,dark color,web,"- Dark overlays
- Strong backgrounds
- Strong highlights
- Dark modals
- Strong emphasis
- Strong focus
- Dark emphasis"
overlay.darker,"- Very dark overlay
- Heavy background
- Should be strong
- Must be visible
- Creates heavy emphasis",#4ba64b,#000100,color,overlay,1.0.100,darker color,web,"- Very dark overlays
- Heavy backgrounds
- Heavy highlights
- Very dark modals
- Heavy emphasis
- Heavy focus
- Very dark emphasis"
overlay.modal,"- Modal overlay
- Dialog background
- Should be prominent
- Must be accessible
- Creates modal focus",#4ba64b,#000101,color,overlay,1.0.101,modal color,web,"- Modal backdrops
- Dialog overlays
- Popup backgrounds
- Modal containers
- Dialog elements
- Popup elements
- Modal sections"
overlay.tooltip,"- Tooltip overlay
- Help background
- Should be subtle
- Must be visible
- Creates tooltip focus",#4ba64b,#000102,color,overlay,1.0.102,tooltip color,web,"- Tooltip backgrounds
- Help overlays
- Info backgrounds
- Tooltip containers
- Help elements
- Info elements
- Tooltip sections"
overlay.dropdown,"- Dropdown overlay
- Menu background
- Should be visible
- Must be accessible
- Creates menu focus",#4ba64b,#000103,color,overlay,1.0.103,dropdown color,web,"- Dropdown backgrounds
- Menu overlays
- List backgrounds
- Dropdown containers
- Menu elements
- List elements
- Dropdown sections"
overlay.hover,"- Hover overlay
- Interactive background
- Should provide feedback
- Must be visible
- Creates interaction feedback",#4ba64b,#000104,color,overlay,1.0.104,hover color,web,"    - Hover states
    - Interactive overlays
    - Mouse feedback
    - Hover backgrounds
    - Interactive elements
    - Hover elements
    - Interactive states"
overlay.active,"- Active overlay
- Selected background
- Should show state
- Must be visible
- Creates state indication",#4ba64b,#000105,color,overlay,1.0.105,active color,web,"- Active states
- Selected overlays
- Pressed backgrounds
- Active elements
- Selected elements
- Pressed states
- Active sections"
overlay.focus,"- Focus overlay
- Keyboard background
- Should be noticeable
- Must be accessible
- Creates focus emphasis",#4ba64b,#000106,color,overlay,1.0.106,focus color,web,"- Focused elements
- Keyboard focus
- Focus indicators
- Focused containers
- Keyboard elements
- Focus elements
- Focused states"
overlay.disabled,"- Disabled overlay
- Inactive background
- Should show state
- Must be visible
- Creates state indication",#4ba64b,#000107,color,overlay,1.0.107,disabled color,web,"- Disabled states
- Inactive overlays
- Unavailable backgrounds
- Disabled elements
- Inactive elements
- Unavailable states
- Disabled sections"
overlay.loading,"- Loading overlay
- Progress background
- Should be visible
- Must be accessible
- Creates loading indication",#4ba64b,#000108,color,overlay,1.0.108,loading color,web,"- Loading states
- Progress overlays
- Loading backgrounds
- Loading elements
- Progress elements
- Loading sections
- Progress states"
overlay.error,"- Error overlay
- Problem background
- Should be noticeable
- Must be accessible
- Creates error indication",#4ba64b,#000109,color,overlay,1.0.109,error color,web,"- Error states
- Problem overlays
- Error backgrounds
- Error elements
- Problem elements
- Error sections
- Problem states"
overlay.success,"- Success overlay
- Positive background
- Should be visible
- Must be accessible
- Creates success indication",#4ba64b,#000110,color,overlay,1.0.110,success color,web,"- Success states
- Positive overlays
- Success backgrounds
- Success elements
- Positive elements
- Success sections
- Positive states"
overlay.warning,"- Warning overlay
- Caution background
- Should be noticeable
- Must be accessible
- Creates warning indication",#4ba64b,#000111,color,overlay,1.0.111,,web,"- Warning states
- Caution overlays
- Warning backgrounds
- Warning elements
- Caution elements
- Warning sections
- Caution states"
shadow.small,"- Minimal shadow
- Light elevation
- Should be subtle
- Must be visible
- Creates basic depth",#4ba64b,#000112,color,shadow,1.0.112,,web,"- Subtle elevation
- Light depth
- Basic separation
- Minor depth
- Light containers
- Basic cards
- Subtle elements"
