token-name,font_family,font_size,font_weight,line_height,letter_spacing,text_decoration,text_transform,type,description,category,status,version,tags,platform,usage
component.card.body,"Roboto Flex, system-ui",14px,400,1.5,0,normal,none,typography.component.card.body,Card component body text style,typography,active,1.0.0,component card,web,Card content and descriptions
component.modal.title,"Roboto Flex, system-ui",20px,600,1.3,0,normal,none,typography.component.modal.title,Modal dialog title text style,typography,active,1.0.0,component modal,web,Modal dialog headers
component.modal.body,"Roboto Flex, system-ui",16px,400,1.5,0,normal,none,typography.component.modal.body,Modal dialog body text style,typography,active,1.0.0,component modal,web,Modal dialog content
component.tooltip,"Roboto Flex, system-ui",12px,400,1.4,0,normal,none,typography.component.tooltip,Tooltip text style for help content,typography,active,1.0.0,component tooltip,web,Tooltips and help text
data.table.header,"Roboto Flex, system-ui",14px,600,1.4,0.2px,normal,none,typography.data.table.header,Table header text style,typography,active,1.0.0,data table,web,Table column headers
data.table.body,"Roboto Flex, system-ui",14px,400,1.5,0,normal,none,typography.data.table.body,Table body text style,typography,active,1.0.0,data table,web,Table cell content
data.metric,"Roboto Flex, system-ui",24px,600,1.2,0,normal,none,typography.data.metric,Large number and metric display style,typography,active,1.0.0,data metric,web,Statistics and key metrics
feedback.loading,"Roboto Flex, system-ui",14px,400,1.4,0,normal,none,typography.feedback.loading,Loading state text style,typography,active,1.0.0,feedback loading,web,Loading indicators
feedback.error,"Roboto Flex, system-ui",14px,400,1.4,0,normal,none,typography.feedback.error,Error message text style,typography,active,1.0.0,feedback error,web,Error messages and alerts
feedback.success,"Roboto Flex, system-ui",14px,400,1.4,0,normal,none,typography.feedback.success,Success message text style,typography,active,1.0.0,feedback success,web,Success messages and confirmations
status.success,"Roboto Flex, system-ui",14px,400,1.4,0,normal,none,typography.status.success,Success status message text style,typography,active,1.0.0,status success,web,Success notifications and confirmations
status.error,"Roboto Flex, system-ui",14px,400,1.4,0,normal,none,typography.status.error,Error status message text style,typography,active,1.0.0,status error,web,Error notifications and alerts
status.warning,"Roboto Flex, system-ui",14px,400,1.4,0,normal,none,typography.status.warning,Warning status message text style,typography,active,1.0.0,status warning,web,Warning notifications and alerts
status.info,"Roboto Flex, system-ui",14px,400,1.4,0,normal,none,typography.status.info,Information status message text style,typography,active,1.0.0,status info,web,Information notifications
component.badge,"Roboto Flex, system-ui",12px,600,1.2,0,normal,none,typography.component.badge,Badge and tag text style,typography,active,1.0.0,component badge,web,Badges and status indicators
component.alert,"Roboto Flex, system-ui",14px,400,1.4,0,normal,none,typography.component.alert,Alert message text style,typography,active,1.0.0,component alert,web,Alert messages and notifications
data.list.title,"Roboto Flex, system-ui",16px,600,1.3,0,normal,none,typography.data.list.title,List section title text style,typography,active,1.0.0,data list,web,List section headers
data.list.item,"Roboto Flex, system-ui",14px,400,1.5,0,normal,none,typography.data.list.item,List item text style,typography,active,1.0.0,data list,web,List items and content
data.label,"Roboto Flex, system-ui",12px,500,1.4,0,normal,none,typography.data.label,Data label text style,typography,active,1.0.0,data label,web,Data point labels and captions
nav.main,"Roboto Flex, system-ui",16px,500,1.4,0,normal,none,typography.nav.main,Main navigation text style,typography,active,1.0.0,nav main,web,Primary navigation items
nav.sub,"Roboto Flex, system-ui",14px,400,1.4,0,normal,none,typography.nav.sub,Sub-navigation text style,typography,active,1.0.0,nav sub,web,Secondary navigation items
nav.breadcrumb,"Roboto Flex, system-ui",12px,400,1.4,0,normal,none,typography.nav.breadcrumb,Breadcrumb navigation text style,typography,active,1.0.0,nav breadcrumb,web,Breadcrumb navigation links
nav.sidebar,"Roboto Flex, system-ui",14px,500,1.4,0,normal,none,typography.nav.sidebar,Sidebar navigation text style,typography,active,1.0.0,nav sidebar,web,Sidebar navigation items
nav.footer,"Roboto Flex, system-ui",12px,400,1.4,0,normal,none,typography.nav.footer,Footer navigation text style,typography,active,1.0.0,nav footer,web,Footer navigation links
a11y.screen-reader,"Roboto Flex, system-ui",16px,400,1.5,0,normal,none,typography.a11y.screen-reader,Screen reader only text style,typography,active,1.0.0,a11y screen-reader,web,Screen reader accessible content
a11y.required,"Roboto Flex, system-ui",14px,600,1.4,0,normal,none,typography.a11y.required,Required field indicator text style,typography,active,1.0.0,a11y required,web,Required field indicators
a11y.optional,"Roboto Flex, system-ui",12px,400,1.4,0,normal,none,typography.a11y.optional,Optional field indicator text style,typography,active,1.0.0,a11y optional,web,Optional field indicators
responsive.mobile,"Roboto Flex, system-ui",14px,400,1.5,0,normal,none,typography.responsive.mobile,Mobile-specific text style,typography,active,1.0.0,responsive mobile,web,Mobile device typography
responsive.tablet,"Roboto Flex, system-ui",15px,400,1.5,0,normal,none,typography.responsive.tablet,Tablet-specific text style,typography,active,1.0.0,responsive tablet,web,Tablet device typography
responsive.desktop,"Roboto Flex, system-ui",16px,400,1.5,0,normal,none,typography.responsive.desktop,Desktop-specific text style,typography,active,1.0.0,responsive desktop,web,Desktop device typography
theme.light,"Roboto Flex, system-ui",16px,400,1.5,0,normal,none,typography.theme.light,Light theme text style,typography,active,1.0.0,theme light,web,Light theme typography
theme.dark,"Roboto Flex, system-ui",16px,400,1.5,0,normal,none,typography.theme.dark,Dark theme text style,typography,active,1.0.0,theme dark,web,Dark theme typography
theme.high-contrast,"Roboto Flex, system-ui",16px,700,1.5,0,normal,none,typography.theme.high-contrast,High contrast theme text style,typography,active,1.0.0,theme high-contrast,web,High contrast theme typography
